#######################
##
## License goes here
##
#######################
a	A
artisteschsten	ARtist@Sst@n
artisteschster	ARtist@Sst6
artistinne	ARtistin@
asammele	AzAm@l@
asammelen	AzAm@l@n
asazfäegster	Aza:tsfE:@s\st6
asazfäegt	Aza:tsfE:@s\t
asazfäheg	Aza:tsfE:@s\
äsche	{S@
äschebecher	{S@b{s\6
äschen	{S@n
äschenteller	{S@nt{l6
aschloe	ASlo:@
aschloen	ASlo:@n
aschlofe	ASlo:f@
aschlofen	ASlo:f@n
aspaans	ASpa:ns
aspaant	ASpa:nt
aspäre	ASpE:R@
aspären	ASpE:R@n
aspekt	Asp{kt
aspro	AspRo:
assistentinne	Asist{ntin@
assitant	AsistA~:
associé	Asosie:
associée	Asosje:
associéë	Asosje:@
associéeë	Asosje:@
associéeën	Asosje:@n
assurance	AsyRA~:s
assuréiere	AsyR3I@R@
assuréieren	AsyR3I@R@n
astéings	ASt3INs
astéingt	ASt3INt
astelle	ASt{l@
astellen	ASt{l@n
ästhet	{ste:t
asthma	Astma:
astouch	ASt@UX
astoungen	ASt@UN@n
astoungs	ASt@UNs
astrolog	AstRolo:X
astrologe	AstRolo:R@
astrologen	AstRolo:R@n
astrologinne	AstRolo:gin@
astronaut	AstRonAUt
astronautinne	AstRonAUtin@
asylantinne	AsilAntin@
atelier	At@lie:
atelier	At@lje:
ateliere	At@lje:@
atheistinne	Ate:istin@
athlet	Atle:t
athletinne	Atle:tin@
atlas	AtlAs
atom	Ato:m
atomreakter	Ato:mReAkt6
atoute	Atu:@
atouten	Atu:@n
attentat	At@nta:t
attentater	At@nta:t6
attentäterinne	AtA~:tE:t@Rin@
atter	At6
attitude	Atity:t
attitudë	Atityd@
attraktioun	AtRAksj@Un
aubergine	o:bERZin
auberginne	o:bERZin@
auder	AUd6
audienz	AUdj{nts
audienze	AUdj{nts@
audiovisuell	AUdjo:vi:zw{l
auditoire	o:ditwa:R
auditoirë	o:ditwa:R@
auer	AU6
auermécher	AU6m@s\6
aufgab	AUfga:p
aufsatz	AUfsAts
august	AUgust
aus	{:Us
ausbaue	{:UsbAU@
ausbauen	{:UsbAU@n
ausbehale	{:Usb@ha:l@
ausbehalen	{:Usb@ha:l@n
ausdeele	{:Usde:l@
ausdeelen	{:Usde:l@n
ausdoe	{:Usdo:@
ausdoen	{:Usdo:@n
ausdrécke	{:UsdRek@
ausdrécken	{:UsdRek@n
ausdrock	{:UsdRok
auserhéngert	{:Uz6heN6t
ausernee	{:Uz6ne:
auserneen	{:Uz6ne:n
ausféiere	{:Usf3I@R@
ausféieren	{:Usf3I@R@n
ausfëlle	{:Usf@l@
ausfëllen	{:Usf@l@n
ausflug	{:UsfluX
ausgab	{:Usga:p
ausgebeut	{:Usg@boIt
ausgebeute	{:Usg@boIt@
ausgerechent	{:Usg@R{s\@nt
ausgesinn	{:Usg@zin
ausginn	{:Usgin
ausgoe	{:Usgo:@
ausgoen	{:Usgo:@n
aushéngere	{:UsheN@R@
aushéngeren	{:UsheN@R@n
aushoul	{:Ush@Ul
aushoulen	{:Ush@Ul@n
aushouls	{:Ush@Uls
aushoult	{:Ush@Ult
aushoung	{:Ush@UN
aushoungen	{:Ush@UN@n
auskräischs	{:UskR{:ISs
auslafe	{:Usla:f@
auslafen	{:Usla:f@n
ausland	{:UslAnt
auslänner	{:Usl{n6
auslännerinne	{:Usl{n@Rin@
auslännesch	{:Usl{n@S
auslous	{:Usl@Us
auslouse	{:Usl@Us
auslousen	{:Usl@Uz@n
ausloust	{:Usl@Ust
ausluede	{:Uslu@d@
auslueden	{:Uslu@d@n
ausmaache	{:Usma:X@
ausmaachen	{:Usma:X@n
ausnahm	{:Usna:m
ausnotze	{:Usnots@
ausnotzen	{:Usnots@n
auspäife	{:Usp{:If@
auspäifen	{:Usp{:If@n
auspéile	{:Usp3Il@
auspéilen	{:Usp3Il@n
auspuff	{:Uspuf
ausraibere	{:UsRAIb@R@
ausraiberen	{:UsRAIb@R@n
ausraume	{:UsRAUm@
ausraumen	{:UsRAUm@n
ausrechne	{:UsR{s\n@
ausrechnen	{:UsR{s\n@n
ausrësele	{:UsR@z@l@
ausrëselen	{:UsR@z@l@n
ausrësserinne	{:UsR@s@Rin@
ausriede	{:UsRi@d@
ausrieden	{:UsRi@d@n
ausrifferinne	{:UsRif@Rin@
ausroue	{:UsR@U@
ausrouen	{:UsR@U@n
ausrutsche	{:UsRutS@
