#######################
##
## License goes here
##
#######################
a	A
héchstens	hekst@ns
heck	h{k
hee	he:
heed	he:t
heefeg	he:f@s\
heehapp	he:hAp
heekele	he:k@l@
heekelen	he:k@l@n
heel	he:l
heem	he:m
heemele	he:m@l@
heemelen	he:m@l@n
heemfuere	he:mfu@R@
heemfueren	he:mfu@R@n
heemgoe	he:mgo:@
heemgoen	he:mgo:@n
heemkomme	he:mkom@
heemkommen	he:mkom@n
heemlech	he:ml@s\
heepst	he:pst
hees	he:s
heesche	he:S@
heeschemann	he:S@mAn
heeschen	he:S@n
heesprénger	he:SpReN6
hëff	h@f
heft	h{ft
hei	hAI
heiansdo	hAIAnsdo:
heibanne	hAIbAn@
heibannen	hAIbAn@n
heibausse	hAIb{:Us@
heibaussen	hAIb{:Us@n
héich	h3Is\
héicht	h3Is\t
héiere	h3I@R@
héieren	h3I@R@n
héierenk	h3I@ReNk
heifir	hAIfi6
héiflech	h3Ifl@s\
héiflechkeet	h3Ifl@s\ke:t
heihin	hAIhin
heizkierper	hAItski@p6
heizung	hAItsuN
helikopter	helikopt6
hell	h{l
hëllef	h@l@f
hëllefe	h@l@f@
hëllefen	h@l@f@n
helleg	h{l@s\
hellewech	h{l@v{s\
helm	h{lm
hëlze	h@lts@
hëlzen	h@lts@n
hemmung	h{muN
héngerdéif	heN6d3If
héngerjuck	heN6z\uk
henker	h{Nk6
hënner	h@n6
hënnere	h@n@R@
hënneren	h@n@R@n
hënnescht	h@n@St
hënt	h@nt
herno	hE:Rno:
herrgott	hE:Rgot
herrgottsfréi	hE:RgotsfR3I
hetz	h{ts
hëtze	h@ts@
hëtzen	h@ts@n
hëtzt	h@tst
hex	h{ks
hexerei	h{ks@RAI
hick	hik
hickecht	hik@s\t
hidde	hid@
hidden	hid@n
hie	hi@
hiecht	hi:@s\t
hiefamm	hi:@vAm
hiel	hi@l
hielänner	hi@l{n6
hiem	hi@m
hiemche	hi@ms\@
hiemchen	hi@ms\@n
hien	hi@n
hier	hi6
hierk	hi6k
hierkomme	hi6kom@
hierkommen	hi6kom@n
hierscht	hi6St
hiert	hi6t
hieselnoss	hi@s@lnos
hieselter	hi@z@lt6
hiewe	hi@v@
hiewel	hi@v@l
hiewen	hi@v@n
hifuere	hifu@R@
hifueren	hifu@R@n
hikomme	hikom@
hikommen	hikom@n
hileeën	hile:@n
him	him
himmel	him@l
himmelblo	him@lblo:
himmlesch	himl@S
hinne	hin@
hinnen	hin@n
hinsicht	hinzis\t
hippe	hip@
hippen	hip@n
hir	hi6
hirsch	hiRS
hirschuel	hi6Su@l
hisiicht	hizi:s\t
histelle	hiSt{l@
histellen	hiSt{l@n
hiwwel	hiv@l
hochzäit	hoXts{:It
hochzäitsdag	hoXts{:Itsda:X
hocker	hok6
hoer	ho:6
hoerbiischt	ho:6bi:St
hoereg	ho:@R@s\
hoffe	hof@
hoffen	hof@n
hoffentlech	hof@ntl@s\
hoffnung	hofnuN
holland	holAnt
hollännesch	hol{n@S
holz	holts
holzbock	holtsbok
homard	homa:R
hond	hont
hondsfrieme	hontsfRi@m@
hondsfriemen	hontsfRi@m@n
hondsfriesse	hontsfRi@s@
hondsfriessen	hontsfRi@s@n
hondsgewéinlech	hontsg@v3Inl@s\
hondshaische	hontshAIsj@
hondshaischen	hontshAIsj@n
hondsléngt	hontsleNt
hong	hoN
honger	hoN6
hongereg	hoN@R@s\
honnert	hon6t
hörer	h2:R6
hotel	o:t{l
houer	h@U6
houfert	h@Uf6t
houfreg	h@UfR@s\
houscht	h@USt
houschte	h@USt@
houschten	h@USt@n
housecker	h@Usek6
housse	hus
hu	hu
huddele	hud@l@
huddelen	hud@l@n
huel	hu@l
huele	hu@l@
huelen	hu@l@n
huerele	hu@R@l@
huerelen	hu@R@l@n
huerteg	hu6t@s\
hues	hu@s
huesenziwwi	hu@s@ntsivi:
huewer	hu@v6
huewerbräi	hu@v6bR{:I
huff	huf
hummer	hum6
hummere	hum@R@
hummeren	hum@R@n
humpe	hump@
humpen	hump@n
humus	hu:mus
hunn	hun
hunneg	hun@s\
huppe	hup@
huppen	hup@n
hutt	hut
huwwel	huv@l
huwwele	huv@l@
huwwelen	huv@l@n
huwwelspoun	huv@lSp@Un
iddi	idi:
iech	i@s\
ielebou	i@l@b@U
ier	i6
ierbes	i6b@s
ierflech	i6fl@s\
ierfschaft	i6fSAft
iergend	i6z\@nt
iergendwou	i6z\@ntv@U
ierger	i6z\6
iergere	i6z\@R@
iergeren	i6z\@R@n
iergerlech	i6z\6l@s\
iertum	i6tum
ierwe	i6v@
ierwen	i6v@n
ierz	i6ts
iesel	i@z@l
iesse	i@s@
iessekascht	i@sekASt
iessen	i@s@n
iesses	i@s@s
iesswuere	i@svu@R@
iesswueren	i@svu@R@n
iesszëmmer	i@sts@m6
iewel	i@v@l
iewescht	i@v@St
ieweschte	i@v@St@
ieweschten	i@v@St@n
igel	ig@l
ignoréiere	iJoR3I@R@
ignoréieren	iJoR3I@R@n
illusioun	ilusj@Un
illustréiert	ilustR3I6t
immens	im{ns
impfe	impf@
impfen	impf@n
impfung	impfuN
import	impORt
indianer	india:n6
infam	infa:m
infinitiv	infiniti:f
infirmier	E~:fiRmje:
informatik	infORma:tik
ingenieur	E~:Z@nj9:R
insekt	inz{kt
insel	inz@l
installateur	E~:stAlAt9:R
instanz	instAnts
int	int
intche	ints\@
intchen	ints\@n
interview	intERvju:
intim	inti:m
intressant	intR{sAnt
intressi	intR{si
inversioun	invERzj@Un
invitatioun	E~:vitAsj@Un
invitéiere	E~:vit3I@R@
invitéieren	E~:vit3I@R@n
ire	i:R@
iren	i:R@n
italie	ita:li@
italien	ita:li@n
italienesch	itAlie:n@S
iwregens	ivR@z\@ns
iwwel	iv@l
iwwer	iv6
iwwerall	iv@RAl
iwwerbake	iv6ba:k@
iwwerbaken	iv6ba:k@n
iwwerbléck	iv6blek
iwwerdeems	iv6de:ms
iwwerdreiwe	iv6dRAIv@
iwwerdreiwen	iv6dRAIv@n
iwwerdroe	iv6dRo:@
iwwerdroen	iv6dRo:@n
iwwerenee	iv@R@ne:
iwwereneen	iv@R@ne:n
iwwerfale	iv6fa:l@
iwwerfalen	iv6fa:l@n
iwwerfloss	iv6flos
iwwerfuere	iv6fu@R@
iwwerfueren	iv6fu@R@n
iwwergi	iv6gi
iwwerginn	iv6gin
iwwerhaapt	iv6ha:pt
iwwerhuele	iv6hu@l@
iwwerhuelen	iv6hu@l@n
iwwerleeën	iv6le:@n
iwwerliewe	iv6li@v@
iwwerliewen	iv6li@v@n
iwwermar	iv6ma:R
iwwermuer	iv6mu:6
iwwerrasche	iv@RAS@
iwwerraschen	iv@RAS@n
iwwerraschung	iv@RASuN
iwwerreeche	iv@Re:s\@
iwwerreechen	iv@Re:s\@n
iwwerrenne	iv@R{n@
iwwerrennen	iv@R{n@n
iwwerriede	iv@Ri@d@
iwwerrieden	iv@Ri@d@n
iwwerschrëft	iv6SR@ft
iwwerschwemmung	iv6Sw{muN
iwwersetze	iv6s{ts@
iwwersetzen	iv6s{ts@n
iwwersiicht	iv6zi:s\t
iwwersprange	iv6SpRAN@
iwwersprangen	iv6SpRAN@n
iwwerstonn	iv6Ston
iwwert	iv6t
iwwerustrengung	iv6uStR{NuN
iwwerwaache	iv6va:X@
iwwerwaachen	iv6va:X@n
iwwerzeege	iv6tse:z\@
iwwerzeegen	iv6tse:z\@n
iwwerzeegung	iv6tse:z\uN
ja	ja:
jackett	ZAk{t
jäize	z\{:Its@
jäizeg	z\{:Its@s\
jäizen	z\{:Its@n
jalous	ZAl@Us
jalousheet	ZAl@Ushe:t
jalousie	ZAluzi:
januar	z\Anua:R
jarnéier	Za:Rn3I6
jatte	ZAt
jauwe	z\AUv@
jauwen	z\AUv@n
jeans	dZi:ns
jeeër	je6
jeeërlech	je:6l@s\
jéimere	z\3Im@R@
jéimeren	z\3Im@R@n
jelli	Zeli
jéngelche	z\eN@ls\@
jéngelchen	z\eN@ls\@n
jéngste	z\eNst@
jéngsten	z\eNst@n
jick	z\ik
jicke	z\ik@
jicken	z\ik@n
jiddefalls	z\id@fAls
jidder	z\id6
jidderee	z\id@Re:
jiddereen	z\id@Re:n
jiddweree	z\idf@Re:
jiddwereen	z\idf@Re:n
jilli	Zili:
jinsseg	z\ins@s\
jo	jo:
joe	jo:@
joen	jo:@n
joer	jo:6
joffer	jof6
jogge	dZog@
joggen	dZog@n
jogurth	juguRt
jong	joN
jonggesell	joNg@z{l
jongleur	ZA~:gl9:R
jonk	joNk
jor	jo:R
jorelaang	jo:Rela:N
jorhonnert	jo:Rhon6t
joshgun	joSgun
journalist	ZuRnAlist
judd	jut
judo	ju:do:
juegd	ju@s\t
jugend	ju:R@nt
jugendherberg	ju:R@nthE:6bERs\
juli	z\u:li
juni	z\u:ni
jupe	Zyp
jupon	ZypA~:
jus	Zy:
just	Zust
ka	kA
kaart	ka:Rt
kabel	ka:b@l
kabes	ka:b@s
kach	kAX
kachbuch	kAXbuX
kachcours	kAXku:6
kachdëppe	kAXd@p@
kachdëppen	kAXd@p@n
käche	k{s\@
kache	kAX@
kachegliddeg	kAX@glid@s\
kächen	k{s\@n
kachen	kAX@n
kachmaschinn	kAXmASin
kackelack	kAk@lAk
kackuett	kAkw{t
kadaver	kAda:v6
kader	ka:d6
käerche	kE:6s\@
käerchen	kE:6s\@n
käerz	kE:6ts
kaf	ka:f
kafe	ka:f@
käfeg	kE:f@s\
kafen	ka:f@n
kaffi	kAfi:
kaffisbiz	kAfi:sbi:ts
kaffisläffelche	kAfi:sl{f@lch@
kaffisläffelchen	kAfi:sl{f@lch@n
kaffismille	kAfi:smil@
kaffismillen	kAfi:smil@n
käiche	k{:Is\@
käichen	k{:Is\@n
kakao	kAkAo:
kal	ka:l
kalbass	kAlbAs
kalbliddeg	ka:lblid@s\
kalenner	kAl{n6
kall	kAl
kallef	kAl@f
kalleffleesch	kAl@ffle:S
kallefskotlett	kAl@fskotl{t
kallek	kAlek
kalzong	kAltsoN
kamäin	kAm{:In
kaméidi	kAm3Idi
kaméil	kAm3Il
kamell	kAm{ll
kamera	kAme:Ra:
kämme	k{m@
kämmen	k{m@n
kammoud	kAm@Ut
kammoudheet	kAm@Uthe:t
kamomill	kAmomil
kamp	kAmp
kampf	kAmpf
kämpfe	k{mpf@
kämpfen	k{mpf@n
kämpfer	k{mpf6
kan	ka:n
kanal	kAna:l
kanarievull	kAna:Ri@ful
kand	kAnt
kanddaf	kAntda:f
kanéngche	kAneNs\@
kanéngchen	kAneNs\@n
känguruh	k{NguRu:
kannereg	kAn@R@s\
kannerkutsch	kAn6kutS
kannerzëmmer	kAn6ts@m6
kantin	kAntin
kap	ka:p
kapéiere	kAp3I@R@
kapéieren	kAp3I@R@n
kaper	ka:p6
kapëtche	kAp@ts\@
kapëtchen	kAp@ts\@n
kapitel	kApit@l
kapp	kAp
kappkësse	kApk@s@
kappkëssen	kApk@s@n
kappsprong	kApSpRoN
kappwéi	kApv3I
kappzich	kAptsis\
kar	ka:R
kär	kE:R
karaff	kARAf
karate	kARa:te:
karblumm	ka:Rblum
karéiert	kAR3I6t
kärel	kE:R@l
kärgesond	kE:Rg@zont
karmell	kARm{l
karo	ka:Ro:
karschnatz	ka:RSnAts
kartong	kAXtoN
kartongskëscht	kAXtoNsk@St
kasär	kAzE:R
käscht	k{St
kascht	kASt
kaschte	kASt@
käschtebam	k{St@ba:m
kaschten	kASt@n
kassett	kAs{t
kassroll	kAsRol
katastrof	kAtAstRo:f
kathoulesch	kAt@Ul@S
katze	kAts@
katzen	kAts@n
kaum	k{:Um
kauzekapp	k{:Uts@kAp
kaviar	kAvia:R
kaweechelche	kAve:s\@ls\@
kaweechelchen	kAve:s\@ls\@n
kaz	ka:ts
këddele	k@d@l@
këddeleg	k@d@l@s\
këddelen	k@d@l@n
kee	ke:
keefer	ke:f6
keel	ke:l
keeleklatz	ke:l@klAts
keelt	ke:lt
keen	ke:n
kees	ke:s
keeser	ke:z6
keess	ke:s
kéidreck	k3IdR{k
kéier	k3I6
keime	kAIm@
keimen	kAIm@n
kéis	k3Is
kéisecker	k3Isek6
kéisrapp	k3IsRAp
kéistupp	k3IStup
keller	k{l6
kellertrap	k{l6tRa:p
këndche	k@nts\@
këndchen	k@nts\@n
keng	k{N
kéng	keN
kénge	keN@
kéngen	keN@n
kéngheet	keNhe:t
kënn	k@n
kenne	k{n@
kënne	k@n@
kënneg	k@n@s\
kënnege	k@n@z\@
kënnegen	k@n@z\@n
kennen	k{n@n
kënnen	k@n@n
kennschaft	k{nSAft
kënschtlech	k@nStl@s\
kënschtler	k@nStl6
këscht	k@St
kësse	k@s@
këssen	k@s@n
kette	k{t@
ketten	k{t@n
kiche	kis\@
kichebriet	kis\@bRi@t
kichelche	kis\@ls\@
kichelchen	kis\@ls\@n
kichemesser	kis\@m{s6
kichen	kis\@n
kichendësch	kis\@nd@S
kichenduch	kis\@nduX
kicheschaf	kis\@Sa:f
kichestull	kis\@Stul
kichewo	kis\@vo:
kickele	kik@l@
kickelen	kik@l@n
kidnappéiere	kitnAp3I@R@
kidnappéieren	kitnAp3I@R@n
kierb	ki6p
kierbiischt	ki6bi:St
kierch	ki6s\
kiere	ki6R@
kieren	ki6R@n
kierfche	ki6fs\@
kierfchen	ki6fs\@n
kierfecht	ki6f@s\t
kiermes	ki6m@s
kierper	ki6p6
kierze	ki6ts@
kierzen	ki6ts@n
kierzlech	ki6tsl@s\
kiewerlek	ki@v6lek
kiischt	ki:St
kiischtche	ki:Sts\@
kiischtchen	ki:Sts\@n
kiischtebam	ki:St@ba:m
kill	kil
kille	kil@
killen	kil@n
kilo	kilo:
kilometer	kilome:t6
king	kiN
kinge	kiN@
kingen	kiN@n
kinnek	kinek
kinnigin	kinigin
kino	kino:
kippe	kip@
kippen	kip@n
kiselstee	kiz@lSte:
kiselsteen	kiz@lSte:n
kitsch	kitS
kitscheg	kitS@s\
kiwwel	kiv@l
klaatsch	kla:tS
klaatsche	kla:tS@
klaatschen	kla:tS@n
klabbere	klAb@R@
klabberen	klAb@R@n
klack	klAk
klackespill	klAk@Spil
klam	kla:m
klamme	klAm@
klammen	klAm@n
klape	kla:p@
klapen	kla:p@n
klappbar	klApba:R
klappe	klAp@
klappen	klAp@n
kläpperei	kl{p@RAI
klapplued	klAplu@t
klarinett	klARin{t
klass	klAs
klätsche	kl{tS@
klätschen	kl{tS@n
klatz	klAts
klatzkapp	klAtskAp
klatzkäppeg	klAtsk{p@s\
klaue	klAU@
klauen	klAU@n
klauschter	kl{:USt6
kleed	kle:t
kleedche	kle:ts\@
kleedchen	kle:ts\@n
kleederbigel	kle:d6biz\@l
kleederbiischt	kle:d6bi:St
kleedergeschäft	kle:d6g@S{ft
kleederschaf	kle:d6Sa:f
kleedung	kle:duN
kleesche	kle:sj@
kleeschen	kle:sj@n
kleesper	kle:sp6
kléi	kl3I
kleng	kl{N
klénge	kleN@
klengegkeet	kl{N@s\ke:t
kléngen	kleN@n
klenglech	kl{Nl@s\
klensch	kl{nS
klëppelsteng	kl@p@lSt{N
klibber	klib6
klima	kli:ma:
klinik	klinik
klinzeg	klints@s\
klippe	klip@
klippen	klip@n
klo	klo:
kloe	klo:@
kloen	klo:@n
kloer	klo:6
klomp	klomp
klotere	klo:t@R@
kloteren	klo:t@R@n
klouschter	kl@USt6
kluck	kluk
kludder	klud6
klunsch	klunS
klunschele	klunS@l@
klunschelen	klunS@l@n
knabbele	knAb@l@
knabbelen	knAb@l@n
knabbere	knAb@R@
knabberen	knAb@R@n
knache	knAX@
knachen	knAX@n
knae	kna:@
knaen	kna:@n
knäipche	kn{:Ips\@
knäipchen	kn{:Ips\@n
knäipe	kn{:Ip@
knäipen	kn{:Ip@n
knapp	knAp
knäpplach	kn{plAX
knapps	knAps
knascht	knASt
knaschteg	knASt@s\
knätsch	kn{tS
knätsche	kn{tS@
knätschen	kn{tS@n
knätzele	kn{ts@l@
knätzelen	kn{ts@l@n
knausereg	knAUz@R@s\
knéchele	kn@s\@l@
knéchelen	kn@s\@l@n
knéckeg	knek@s\
knéckjang	knekZAN
knéi	kn3I
knéie	kn3I@
knéien	kn3I@n
knéischeif	kn3ISAIf
knëppel	kn@p@l
knëppelsteng	kn@p@lSt{N
kniddel	knid@l
kniede	kni@d@
knieden	kni@d@n
kniff	knif
knippche	knips\@
knippchen	knips\@n
knipse	knips@
knipsen	knips@n
kniwwele	kniv@l@
kniwwelen	kniv@l@n
knosp	knosp
knoutere	kn@Ut@R@
knoutereg	kn@Ut@R@s\
knouteren	kn@Ut@R@n
knubbeleg	knub@l@s\
knuet	knu@t
knuewelek	knu@v@lek
knupp	knup
knuppe	knup@
knuppen	knup@n
köder	k2:d6
koffer	kof6
kokett	kok{t
kolleg	kole:s\
kollegin	kole:z\in
kolonn	kolon
komerod	kom@Ro:t
komesch	ko:m@S
komiker	ko:mik6
komma	koma:
kommandéiere	komAnd3I@R@
kommandéieren	komAnd3I@R@n
komme	kom@
kommen	kom@n
kommissioun	komisj@Un
komp	komp
kompass	kompAs
kompetenz	kompe:t{nts
kompliment	komplim{nt
komplizéiert	komplits3I6t
komplottéiere	komplot3I@R@
komplottéieren	komplot3I@R@n
komponist	komponist
konditioun	konditsj@Un
konfus	konfu:s
konnschaft	konSAft
konscht	konSt
konschtwierk	konStvi6k
konserv	konzERf
konserven	konzERv@n
konsonant	konzonAnt
kont	kont
kontabilitéit	kontAbilit3It
kontakt	kontAkt
kontrolléiere	kontRol3I@R@
kontrolléieren	kontRol3I@R@n
kontroller	kontRol6
kontrolltuerm	kontRoltu6m
kopéiere	kop3I@R@
kopéieren	kop3I@R@n
kopi	kopi
koppel	kop@l
kopplabunz	koplAbunts
kork	koXk
koschter	koSt6
koschtere	koSt@R@
koschteren	koSt@R@n
koseng	kozeN
kostüm	kostym
kotlett	kotl{t
kotteng	koteN
kou	k@U
kouert	k@U6t
koup	k@Up
koustall	k@UStAl
koz	ko:ts
kraache	kRa:X@
kraachen	kRa:X@n
kraaft	kRa:ft
krabb	kRAp
krabbe	kRAb@
krabben	kRAb@n
kräid	kR{:It
kräijong	kR{:IjoN
kräische	kR{:IS@
kräischen	kR{:IS@n
kräiz	kR{:Its
kräize	kR{:Its@
kräizen	kR{:Its@n
kräizung	kR{:ItsuN
krall	kRAll
kramp	kRAmp
kran	kRa:n
krank	kRANk
krankeschwëster	kRANk@Sw@st6
krankheet	kRANkhe:t
krankheetskeim	kRANkhe:tskAIm
kranz	kRAnts
krapp	kRAp
krappeg	kRAp@s\
krauche	kR{:UX@
krauchen	kR{:UX@n
krausel	kRAUz@l
krauseleg	kRAUz@l@s\
kraut	kR{:Ut
krawatt	kRAvAt
kraze	kRa:ts@
krazen	kRa:ts@n
kréckele	kRek@l@
kréckelen	kRek@l@n
kreditkaart	kReditka:Rt
kreemche	kRe:ms\@
kreemchen	kRe:ms\@n
krees	kRe:s
kreesch	kRe:S
kregéile	kR@g3Il@
kregéilen	kR@g3Il@n
kréi	kR3I
kréie	kR3I@
kréien	kR3I@n
kréiena	kR3I@na:
kréimer	kR3Im6
kréischel	kR3IS@l
kréischelsheck	kR3IS@lsh{k
krëpeng	kR@peN
krëpp	kR@p
krëppel	kR@p@l
krëppeleg	kR@p@l@s\
kretsch	kR{tS
krich	kRis\
kriddeleg	kRid@l@s\
kriibs	kRi:ps
krimi	kRimi:
kristall	kRistAl
kriten	kRi:t@n
kritiséiere	kRitiz3I@R@
kritiséieren	kRitiz3I@R@n
krokodill	kRokodil
krom	kRo:m
kromm	kRom
krop	kRo:p
krou	kR@U
kroun	kR@Un
krunn	kRun
kruppschank	kRupSANk
krut	kRu:t
kruten	kRu:t@n
kuch	kuX
kucke	kuk@
kucken	kuk@n
kuddelfleck	kud@lfl{k
kueb	ku@p
kuebe	ku@b@
kueben	ku@b@n
kueder	ku@d6
kuel	ku@l
kuerf	ku6f
kuerz	ku6ts
kuerze	ku6ts@
kuerzen	ku6ts@n
kuerzsichteg	ku6tszis\t@s\
kugel	kuR@l
kulang	kulAN
kulisse	kulise
kulissen	kulisen
kummer	kum6
künstler	kynstl6
kupplung	kupluN
kur	ku:6
kurzschluss	ku6tsSlus
kuss	kus
kuuscht	ku:St
kuuschteg	ku:St@s\
kuuschtert	ku:St6t
laach	la:X
laache	la:X@
laachen	la:X@n
laang	la:N
laanscht	la:nSt
laanschtkomme	la:nStkom@
laanschtkommen	la:nStkom@n
laascht	la:St
labber	lAb6
lach	lAX
lächele	l{s\@l@
lächelen	l{s\@l@n
lächerlech	l{s\6l@s\
lackele	lAk@l@
lackeleg	lAk@l@s\
lackelen	lAk@l@n
laf	la:f
lafe	la:f@
lafen	la:f@n
läffel	l{f@l
läffelsgeschir	l{f@lsg@Si6
läich	l{:Is\
läif	l{:If
läilech	l{:Il@s\
läinduch	l{:InduX
läinzeeche	l{:Intse:s\@
läinzeechen	l{:Intse:s\@n
laitue	lE:ty
laitue	lE:ty:
lämmche	l{ms\@
lämmchen	l{ms\@n
land	lAnt
lande	lAnd@
landen	lAnd@n
landkaart	lAntka:Rt
landschaft	lAntSAft
landstrooss	lAntStRo:s
landung	lAnduN
landwirt	lAntviRt
länge	l{N@
längen	l{N@n
längt	l{Nt
langust	lANgust
langweil	lANvAIl
langweile	lANvAIl@
langweileg	lANvAIl@s\
langweilen	lANvAIl@n
lann	lAn
lanz	lAnts
läppche	l{ps\@
läppchen	l{ps\@n
läsche	l{S@
läschen	l{S@n
lass	lAs
lassgi	lAsgi
lassginn	lAsgin
lassgoe	lAsgo:@
lassgoen	lAsgo:@n
lassloosse	lAslo:s@
lassloossen	lAslo:s@n
lästeg	l{st@s\
lastik	lAstik
laude	lAUd@
lauden	lAUd@n
lauer	lAU6
lauere	lAU@R@
laueren	lAU@R@n
laufbursch	lAUfbuRS
laun	lAUn
launesch	lAUn@S
laus	l{:Us
lauschtere	l{:USt@R@
lauschteren	l{:USt@R@n
lauter	l{:Ut6
lautspriecher	l{:UtSpRi@s\6
lavabo	lAvAbo:
lavendel	lAv{nd@l
lawin	lAvi:n
lecke	l{k@
lecken	l{k@n
lee	le:
leechne	le:s\n@
leechnen	le:s\n@n
leed	le:t
leede	le:d@
leeden	le:d@n
leeder	le:d6
leeën	le:@n
leem	le:m
leeschte	le:St@
leeschten	le:St@n
leeschtung	le:StuN
lëfte	l@ft@
lëften	l@ft@n
leide	lAId@
leiden	lAId@n
leidenschaft	lAId@nSAft
leider	lAId6
leie	lAI@
léie	l3I@
leien	lAI@n
léien	l3I@n
leier	lAI6
léier	l3I6
léierbouf	l3I6b@Uf
leiere	lAI@R@
léiere	l3I@R@
leieren	lAI@R@n
léieren	l3I@R@n
léierin	l3I@Rin
léierjong	l3I6joN
léif	l3If
léift	l3Ift
léine	l3In@
léinen	l3In@n
léise	l3Iz@
léisegeld	l3Iz@g{lt
léisen	l3Iz@n
léislech	l3Isl@s\
léisung	l3IzuN
leit	lAIt
leitung	lAItuN
léiw	l3If
léiweckelche	l3Iv{k@ls\@
léiweckelchen	l3Iv{k@ls\@n
léiwemailche	l3Iv@mAIls\@
léiwemailchen	l3Iv@mAIls\@n
lektioun	l{ksj@Un
lëmmel	l@m@l
lëmmelzeg	l@m@lts@s\
léngent	leN@nt
léngt	leNt
lénks	leNks
lënnere	l@n@R@
lënneren	l@n@R@n
lëns	l@ns
leopard	leopa:Rt
lëppestëft	l@p@St@ft
lëps	l@ps
lescht	l{St
lëscht	l@St
leschte	l{St@
lëschteg	l@St@s\
leschten	l{St@n
lëtzebuerg	l@ts@bu6s\
lëtzebuerger	l@ts@bu6j6
lëtzebuergerin	l@ts@bu6j@Rin
lëtzebuergesch	l@ts@bu6j@S
libell	lib{l
liberal	lib@Ra:l
librairie	libR{Ri:
lidd	lit
liddereg	lid@R@s\
lidderhanes	lid6ha:n@s
lieder	li@d6
liefkuch	li@fkuX
lies	li@s
liese	li@z@
liesen	li@z@n
lieser	li@z6
liewe	li@ve
lieweg	li@v@s\
liewen	li@ven
liewer	li@veR
liewerkniddel	li@veRknid@l
liewesgeféierlech	li@vesg@f3I6l@s\
lieweskraaft	li@veskRa:ft
liewesmidd	li@vesmit
liewesraum	li@vesR{:Um
lift	lift
lige	liz\@
ligen	liz\@n
ligener	liz\@n6
ligestull	li:z\@Stul
liicht	li:s\t
liichtegkeet	li:s\t@s\ke:t
liichtmëssdag	li:s\tm@sda:X
liichtsënneg	li:s\tz@n@s\
limonad	limona:t
lineal	linea:l
liter	lit6
living	liviN
liwwere	liv@R@
liwweren	liv@R@n
liwwerwon	liv6vo:n
lo	lo:
locataire	lokAtE:R
loft	loft
loftballon	loftbAlA~:
lokomotiv	lokomoti:f
lokomotiven	lokomoti:v@n
lokomotivführer	lokomoti:ffy:R6
lomp	lomp
long	loN
loosse	lo:s@
loossen	lo:s@n
lorberblat	lORb6bla:t
losange	lozA~:S
loscht	loSt
louche	luS
loun	l@Un
loune	l@Un@
lounen	l@Un@n
lous	l@Us
loyer	lwAje:
luede	lu@d@
lueden	lu@d@n
luef	lu@f
lues	lu@s
lupp	lup
lüster	lyst6
lut	lu:t
lutsch	lutS
lutsche	lutS@
lutschen	lutS@n
luucht	lu:Xt
luuchteschalter	lu:Xt@SAlt6
luusse	lu:s@
luusseg	lu:s@s\
luussen	lu:s@n
luxuriéis	luksuRj3Is
luxus	luksus
lycée	lise:
ma	mA
maache	ma:X@
maachen	ma:X@n
maans	ma:ns
maart	ma:Rt
maartplaz	ma:Rtpla:ts
mächteg	m{s\t@s\
mackeg	mAk@s\
madame	mAdAm
mäerche	mE6s\@
mäerchen	mE6s\@n
mäerder	mE6d6
mäerderesch	mE6d@R@S
mäerz	mE6ts
magnéit	mAgn3It
mäifelche	m{:If@ls\@
mäifelchen	m{:If@ls\@n
maillot	mAjo:
mäin	m{:In
malaise	mAlE:s
malle	mAl
mam	mAm
mama	mAma:
manchett	mA~:S{t
mandel	mAnd@l
mandele	mAnd@l@
mandelen	mAnd@l@n
manéierlech	mAn3I6l@s\
manktem	mANkt@m
mann	mAn
manner	mAn6
mannerjäreg	mAn6jE:R@s\
männlech	m{nl@s\
mansard	mA~:sa:R
mantel	mAnt@l
mantelbriet	mAnt@lbRi@t
mapp	mAp
mar	ma:R
marber	mARb6
märei	m{RAI
märel	mE:R@l
margréitche	ma:RgR3Its\@
margréitchen	ma:RgR3Its\@n
marionett	mARion{t
masch	mAS
mask	mAsk
maskéieren	mAsk3I@R@n
mass	mAs
massage	mAsa:S
massaker	mAsAk6
masseg	mAs@s\
masseur	mAs9:R
masseuse	mAs2:s
mast	mAst
mastik	mAstik
masutt	mAzut
mat	mAt
matbrénge	mAtbReN@
matbréngen	mAtbReN@n
matdeele	mAtde:l@
matdeelen	mAtde:l@n
matenee	mAd@ne:
mateneen	mAd@ne:n
material	mAteRja:l
matgoe	mAtgo:@
matgoen	mAtgo:@n
mathematik	mAtema:tik
mathuele	mAthu@l@
mathuelen	mAthu@l@n
matleed	mAtle:t
matrass	mAtRAs
matrous	mAtR@Us
matschaffe	mAtSAf@
matschaffen	mAtSAf@n
matt	mAt
mauer	mAU6
maufel	m{:Uf@l
maulef	m{:Ul@f
maulkuerf	m{:Ulku6f
maus	m{:Us
mauséiercheszalot	mAUz3I6s\@stsAlo:t
mécanicien	me:kAnisjE~:
mech	m@s\
méchs	m@s\s
méck	mek
meckere	m{k@R@
meckeren	m{k@R@n
medail	m@dAIl
medezin	m@d@tsin
medikament	me:dikAm{nt
mee	me:
meedche	me:ts\@
meedchen	me:ts\@n
meederchesnumm	me:d6s\@snum
meenung	me:nuN
meeréische	me:R3Isj@
meeréischen	me:R3Isj@n
meescht	me:St
meeschtens	me:St@ns
meeschter	me:St6
meessel	me:s@l
meessele	me:s@l@
